policy,cost_mode,lambda,mean_reward,mean_cost,mean_utility,out_rate,all_fail_out_recall,out_precision_all_fail,choice_counts_by_route
raw_no_out,fixed_train_mean,0.0,0.40559440559440557,0.009137211993006994,0.40559440559440557,0.0,0.0,nan,"{""OUT"": 0, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 48, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 64, ""solver:openai/gpt-oss-120b"": 174, ""solver:openai/gpt-oss-20b"": 0}"
utility_out,fixed_train_mean,0.0,0.40559440559440557,0.009137211993006994,0.40559440559440557,0.0,0.0,nan,"{""OUT"": 0, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 48, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 64, ""solver:openai/gpt-oss-120b"": 174, ""solver:openai/gpt-oss-20b"": 0}"
all_fail_tau_out,fixed_train_mean,0.0,0.3146853146853147,0.005999507713286714,0.3146853146853147,0.3776223776223776,0.5476190476190477,0.6388888888888888,"{""OUT"": 108, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 39, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 7, ""solver:openai/gpt-oss-120b"": 132, ""solver:openai/gpt-oss-20b"": 0}"
oracle_all_fail_out,fixed_train_mean,0.0,0.40559440559440557,0.004382442643356643,0.40559440559440557,0.4405594405594406,1.0,1.0,"{""OUT"": 126, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 28, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 109, ""solver:openai/gpt-oss-20b"": 0}"
oracle_utility_out,fixed_train_mean,0.0,0.5594405594405595,0.0013062074125874126,0.5594405594405595,0.4405594405594406,1.0,1.0,"{""OUT"": 126, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
best_always,fixed_train_mean,0.0,0.47202797202797203,0.01390635125874126,0.47202797202797203,0.0,0.0,nan,"{""OUT"": 0, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
cascade,fixed_train_mean,0.0,nan,nan,0.44405594405594406,nan,nan,nan,{}
raw_no_out,fixed_train_mean,5.0,0.38461538461538464,0.00566420686013986,0.3562943503146853,0.0,0.0,nan,"{""OUT"": 0, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 120, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 29, ""solver:openai/gpt-oss-120b"": 115, ""solver:openai/gpt-oss-20b"": 22}"
utility_out,fixed_train_mean,5.0,0.35664335664335667,0.005629944818181818,0.32849363255244757,0.15734265734265734,0.2222222222222222,0.6222222222222222,"{""OUT"": 45, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 75, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 29, ""solver:openai/gpt-oss-120b"": 115, ""solver:openai/gpt-oss-20b"": 22}"
all_fail_tau_out,fixed_train_mean,5.0,0.3111888111888112,0.004844017255244755,0.2869687249125874,0.3776223776223776,0.5476190476190477,0.6388888888888888,"{""OUT"": 108, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 43, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 10, ""solver:openai/gpt-oss-120b"": 107, ""solver:openai/gpt-oss-20b"": 18}"
oracle_all_fail_out,fixed_train_mean,5.0,0.38461538461538464,0.0030810792972027976,0.36920998812937067,0.4405594405594406,1.0,1.0,"{""OUT"": 126, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 57, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 13, ""solver:openai/gpt-oss-120b"": 77, ""solver:openai/gpt-oss-20b"": 13}"
oracle_utility_out,fixed_train_mean,5.0,0.5594405594405595,0.0012938998216783216,0.5529710603321679,0.4405594405594406,1.0,1.0,"{""OUT"": 126, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
best_always,fixed_train_mean,5.0,0.47202797202797203,0.01390635125874126,0.40249621573426575,0.0,0.0,nan,"{""OUT"": 0, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
cascade,fixed_train_mean,5.0,nan,nan,0.34523427304195803,nan,nan,nan,{}
