lambda,policy,n,mean_calls,mean_reward,mean_cost,mean_utility,final_Scout 4B,final_OSS 20B,final_Qwen 30B,final_OSS 120B
5,input_only_direct,286,1.0,0.3916083916083916,0.0056582444265734265,0.3633171694755245,112,23,28,123
5,flexible_chain,286,1.3496503496503496,0.4230769230769231,0.008373355881118883,0.38121014367132866,88,17,37,144
5,forced_scout_chain,286,1.7097902097902098,0.40559440559440557,0.00750648606993007,0.3680619752447552,110,15,28,133
25,input_only_direct,286,1.0,0.3776223776223776,0.0021835555979020974,0.32303348767482515,140,88,17,41
25,flexible_chain,286,1.2447552447552448,0.3881118881118881,0.003365373769230769,0.3039775438811189,111,85,25,65
25,forced_scout_chain,286,1.5804195804195804,0.3741258741258741,0.0029454937132867135,0.3004885312937063,139,75,14,58
35,input_only_direct,286,1.0,0.3776223776223776,0.0015494252797202798,0.3233924928321678,148,98,11,29
35,flexible_chain,286,1.2272727272727273,0.3881118881118881,0.002500591111888112,0.30059119919580424,118,102,18,48
35,forced_scout_chain,286,1.527972027972028,0.3741258741258741,0.0022314356188811186,0.29602562746503497,146,88,10,42
50,input_only_direct,286,1.0,0.3776223776223776,0.0011550074685314686,0.3198720041958042,153,108,11,14
50,flexible_chain,286,1.2237762237762237,0.3811188811188811,0.0018780884160839164,0.2872144603146853,125,115,16,30
50,forced_scout_chain,286,1.4825174825174825,0.36013986013986016,0.0015862936958041956,0.28082517534965035,157,97,6,26
75,input_only_direct,286,1.0,0.36013986013986016,0.0008864431748251747,0.29365662202797205,164,108,8,6
75,flexible_chain,286,1.1818181818181819,0.3706293706293706,0.001218660090909091,0.2792298638111888,137,122,16,11
75,forced_scout_chain,286,1.4335664335664335,0.34965034965034963,0.0011149918076923076,0.26602596407342655,167,101,5,13
100,input_only_direct,286,1.0,0.3531468531468531,0.0007729159825174826,0.2758552548951049,177,100,5,4
100,flexible_chain,286,1.1818181818181819,0.36363636363636365,0.001048088388111888,0.25882752482517485,148,121,12,5
100,forced_scout_chain,286,1.3916083916083917,0.34965034965034963,0.0009472371958041959,0.25492663006993005,177,97,4,8
