lambda,route_idx,route_label,selected_count,selected_frac,global_route_reward_mean,global_delta_vs_scout_mean,global_route_cost_mean,selected_route_reward_mean,selected_delta_vs_scout_mean,selected_route_cost_mean,selected_reward_lift_vs_global_route_mean,selected_delta_lift_vs_global_route_mean
0.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,48,0.16783216783216784,0.2902097902097902,0.0,0.00026183225874125865,0.2916666666666667,0.0,0.0001900825,0.001456876456876477,0.0
0.0,1,solver:openai/gpt-oss-20b,0,0.0,0.3881118881118881,0.0979020979020979,0.0030106595979021,,,,,
0.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,64,0.22377622377622378,0.4020979020979021,0.11188811188811189,0.004328844195804197,0.203125,0.0625,0.0040377425,-0.19897290209790208,-0.04938811188811189
0.0,3,solver:openai/gpt-oss-120b,174,0.6083916083916084,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.5114942528735632,0.16666666666666666,0.013481052586206896,0.03946628084559117,-0.015151515151515166
5.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,113,0.3951048951048951,0.2902097902097902,0.0,0.00026183225874125865,0.21238938053097345,0.0,0.00024112932743362828,-0.07782040967881676,0.0
5.0,1,solver:openai/gpt-oss-20b,24,0.08391608391608392,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.3333333333333333,0.125,0.00363947325,-0.05477855477855481,0.027097902097902096
5.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,24,0.08391608391608392,0.4020979020979021,0.11188811188811189,0.004328844195804197,0.375,0.25,0.0049104733333333326,-0.027097902097902082,0.13811188811188813
5.0,3,solver:openai/gpt-oss-120b,125,0.4370629370629371,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.568,0.16,0.011979619679999998,0.09597202797202792,-0.02181818181818182
10.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,123,0.43006993006993005,0.2902097902097902,0.0,0.00026183225874125865,0.21951219512195122,0.0,0.00023664580487804877,-0.07069759508783899,0.0
10.0,1,solver:openai/gpt-oss-20b,53,0.1853146853146853,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.3584905660377358,0.11320754716981132,0.003224681716981133,-0.0296213220741523,0.01530544926771342
10.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,19,0.06643356643356643,0.4020979020979021,0.11188811188811189,0.004328844195804197,0.42105263157894735,0.2631578947368421,0.004983359999999999,0.018954729481045263,0.15126978284873022
10.0,3,solver:openai/gpt-oss-120b,91,0.3181818181818182,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.5714285714285714,0.13186813186813187,0.011999240769230767,0.09940059940059937,-0.04995004995004995
15.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,131,0.458041958041958,0.2902097902097902,0.0,0.00026183225874125865,0.20610687022900764,0.0,0.00024277251908396945,-0.08410291998078256,0.0
15.0,1,solver:openai/gpt-oss-20b,73,0.25524475524475526,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.4246575342465753,0.1095890410958904,0.0032127650958904113,0.03654564613468719,0.011686943193792501
15.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,9,0.03146853146853147,0.4020979020979021,0.11188811188811189,0.004328844195804197,0.5555555555555556,0.3333333333333333,0.004133208888888889,0.1534576534576535,0.22144522144522144
15.0,3,solver:openai/gpt-oss-120b,73,0.25524475524475526,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.5616438356164384,0.136986301369863,0.012062937945205479,0.08961586358846635,-0.04483188044831882
20.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,138,0.4825174825174825,0.2902097902097902,0.0,0.00026183225874125865,0.2028985507246377,0.0,0.00024380599999999995,-0.08731123948515251,0.0
20.0,1,solver:openai/gpt-oss-20b,90,0.3146853146853147,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.4888888888888889,0.1111111111111111,0.0027580656666666664,0.10077700077700075,0.013209013209013201
20.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,6,0.02097902097902098,0.4020979020979021,0.11188811188811189,0.004328844195804197,0.3333333333333333,0.16666666666666666,0.004318293333333333,-0.06876456876456877,0.05477855477855477
20.0,3,solver:openai/gpt-oss-120b,52,0.18181818181818182,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.5384615384615384,0.15384615384615385,0.011574129807692308,0.0664335664335664,-0.02797202797202797
25.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,141,0.493006993006993,0.2902097902097902,0.0,0.00026183225874125865,0.20567375886524822,0.0,0.0002475659007092198,-0.08453603134454199,0.0
25.0,1,solver:openai/gpt-oss-20b,101,0.3531468531468531,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.45544554455445546,0.10891089108910891,0.0030598395148514848,0.06733365644256734,0.011008793187011007
25.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,3,0.01048951048951049,0.4020979020979021,0.11188811188811189,0.004328844195804197,0.3333333333333333,0.0,0.00274224,-0.06876456876456877,-0.11188811188811189
25.0,3,solver:openai/gpt-oss-120b,41,0.14335664335664336,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.6341463414634146,0.1951219512195122,0.010006412926829269,0.1621183694354426,0.013303769401330379
30.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,142,0.4965034965034965,0.2902097902097902,0.0,0.00026183225874125865,0.20422535211267606,0.0,0.0002485359154929577,-0.08598443809711415,0.0
30.0,1,solver:openai/gpt-oss-20b,113,0.3951048951048951,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.4690265486725664,0.11504424778761062,0.0029061273982300888,0.08091466056067825,0.017142149885512714
30.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
30.0,3,solver:openai/gpt-oss-120b,31,0.10839160839160839,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.7096774193548387,0.25806451612903225,0.009396233225806452,0.23764944732686671,0.07624633431085043
35.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,144,0.5034965034965035,0.2902097902097902,0.0,0.00026183225874125865,0.2013888888888889,0.0,0.0002502115833333333,-0.08882090132090131,0.0
35.0,1,solver:openai/gpt-oss-20b,119,0.4160839160839161,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.48739495798319327,0.13445378151260504,0.002845399462184874,0.09928306987130514,0.03655168361050713
