lambda,best_always_utility,cascade_utility,best_q_policy,best_q_utility,best_q_minus_always,best_q_minus_cascade
0.0,0.47202797202797203,0.44405594405594406,state_policy::flexible_bare_max4,0.43356643356643354,-0.03846153846153849,-0.010489510489510523
5.0,0.40249621573426575,0.34523427304195803,state_policy::flexible_bare_max4,0.3812101436713287,-0.021286072062937034,0.03597587062937069
10.0,0.3588094601398601,0.31284616846153845,state_policy::forced_scout_0_max4,0.34434939363636363,-0.01446006650349646,0.03150322517482518
15.0,0.34295199414335664,0.32859655265734267,state_policy::flexible_bare_max4,0.3197987154020979,-0.02315327874125872,-0.008797837255244745
20.0,0.32789869615384615,0.31342011216783217,state_policy::input_only_direct,0.3182414711888112,-0.00965722496503496,0.004821359020979021
25.0,0.31284539816433565,0.29824367167832166,state_policy::input_only_direct,0.3230334876748252,0.01018808951048955,0.02478981599650354
30.0,0.29779210017482516,0.28306723118881116,state_policy::input_only_direct,0.31878821055944057,0.020996110384615407,0.0357209793706294
35.0,0.2827388021853146,0.26789079069930066,state_policy::input_only_direct,0.3233924928321678,0.0406536906468532,0.05550170213286715
40.0,0.2797364998601399,0.25271435020979016,state_policy::input_only_direct,0.3144511283916084,0.034714628531468505,0.06173677818181822
50.0,0.27711817727272725,0.22236146923076922,state_policy::input_only_direct,0.3198720041958042,0.04275382692307694,0.09751053496503498
75.0,0.2705723708041958,0.2705723708041958,state_policy::input_only_direct,0.29365662202797205,0.02308425122377622,0.02308425122377622
100.0,0.26402656433566435,0.26402656433566435,state_policy::input_only_direct,0.2758552548951049,0.011828690559440524,0.011828690559440524
150.0,0.2509349513986014,0.2509349513986014,state_policy::input_only_direct,0.24750573479020976,-0.0034292166083916276,-0.0034292166083916276
200.0,0.2378433384615385,0.23784333846153846,state_policy::input_only_direct,0.23609061468531467,-0.001752723776223819,-0.0017527237762237913
