lambda,Best always utility,Best always reward,Best always cost,Input-only direct utility,Input-only direct reward,Input-only direct cost,Flexible max2 utility,Flexible max2 reward,Flexible max2 cost,Forced scout max2 utility,Forced scout max2 reward,Forced scout max2 cost,Fixed-order cascade utility,Fixed-order cascade reward,Fixed-order cascade cost,Oracle direct utility,Oracle direct reward,Oracle direct cost
0.0,0.47202797202797203,0.47202797202797203,0.013906351258741255,0.4405594405594406,0.4405594405594406,0.012781430486013984,0.45454545454545453,0.45454545454545453,0.013537230048951047,0.45454545454545453,0.45454545454545453,0.013120170513986017,0.4370629370629371,0.4370629370629371,0.01820636022377622,0.5594405594405595,0.5594405594405595,0.0014341748951048942
5.0,0.40249621573426575,0.47202797202797203,0.013906351258741255,0.399852749020979,0.42657342657342656,0.005344135510489508,0.3995135518881119,0.43006993006993005,0.006111275636363633,0.3746286890909091,0.4020979020979021,0.005493842601398598,0.34523427304195803,0.3776223776223776,0.006477620916083915,0.5523312229195805,0.5594405594405595,0.0014218673041958034
10.0,0.3588094601398601,0.4020979020979021,0.004328844195804197,0.3703928437762238,0.3951048951048951,0.0024712051328671337,0.375113159055944,0.4020979020979021,0.0026984743041958054,0.35952426860139863,0.38461538461538464,0.0025091116013986003,0.3271347284265735,0.38461538461538464,0.0057480656188811175,0.5452218863986015,0.5594405594405595,0.0014218673041958034
15.0,0.34295199414335664,0.3881118881118881,0.0030106595979021,0.35751132195804197,0.38461538461538464,0.0018069375104895096,0.3623556030244755,0.3916083916083916,0.0019501859055944058,0.3550338252447553,0.38461538461538464,0.0019721039580419563,0.3408886981643357,0.38461538461538464,0.0029151124300699303,0.5381125498776225,0.5594405594405595,0.0014218673041958034
20.0,0.32789869615384615,0.3881118881118881,0.0030106595979021,0.3498703378321678,0.3811188811188811,0.0015624271643356641,0.35768108174825175,0.3916083916083916,0.0016963654930069935,0.3546153012587413,0.3881118881118881,0.0016748293426573427,0.32631313601398604,0.38461538461538464,0.0029151124300699303,0.5310032133566435,0.5594405594405595,0.0014218673041958034
25.0,0.31284539816433565,0.3881118881118881,0.0030106595979021,0.34351705629370627,0.3776223776223776,0.0013642128531468531,0.3462035461538462,0.38461538461538464,0.0015364735384615386,0.34776728435314685,0.38461538461538464,0.0014739240104895102,0.3117375738636364,0.38461538461538464,0.0029151124300699303,0.5238938768356644,0.5594405594405595,0.0014218673041958034
30.0,0.29779210017482516,0.3881118881118881,0.0030106595979021,0.33812415164335663,0.3741258741258741,0.0012000574160839165,0.34675765227272726,0.3881118881118881,0.001378474527972028,0.35248546671328673,0.3916083916083916,0.001304097496503497,0.2971620117132867,0.38461538461538464,0.0029151124300699303,0.5170566298951049,0.5559440559440559,0.0012962475349650349
35.0,0.2827388021853146,0.3881118881118881,0.0030106595979021,0.3374569643531468,0.3741258741258741,0.0010476831363636365,0.34263120596153845,0.38461538461538464,0.0011995479615384624,0.3351680151398601,0.3741258741258741,0.0011130816853146858,0.2825864495629371,0.38461538461538464,0.0029151124300699303,0.5105753922202797,0.5559440559440559,0.0012962475349650349
40.0,0.2797364998601399,0.2902097902097902,0.00026183225874125865,0.3286320995804196,0.36713286713286714,0.0009625191888111888,0.33508688237762235,0.3776223776223776,0.001063387381118881,0.3354619286713286,0.3741258741258741,0.0009665986363636367,0.26801088741258744,0.38461538461538464,0.0029151124300699303,0.5040941545454546,0.5559440559440559,0.0012962475349650349
50.0,0.27711817727272725,0.2902097902097902,0.00026183225874125865,0.30921182150349646,0.34965034965034963,0.0008087705629370631,0.3220547223776224,0.36713286713286714,0.0009015628951048951,0.3080630414335664,0.34615384615384615,0.0007618160944055949,0.2388597631118881,0.38461538461538464,0.0029151124300699303,0.4911316791958042,0.5559440559440559,0.0012962475349650349
75.0,0.2705723708041958,0.2902097902097902,0.00026183225874125865,0.28215937263986013,0.32517482517482516,0.000573539367132867,0.28525013645104896,0.3321678321678322,0.0006255692762237761,0.2831775418706294,0.32167832167832167,0.0005133437307692307,0.2705723708041958,0.2902097902097902,0.0002618322587412587,0.4624269326048951,0.5384615384615384,0.0010137947447552448
100.0,0.26402656433566435,0.2902097902097902,0.00026183225874125865,0.2729411346153846,0.3146853146853147,0.000417441800699301,0.27770250139860136,0.32167832167832167,0.0004397582027972031,0.2789762402097902,0.3146853146853147,0.0003570907447552447,0.26402656433566435,0.2902097902097902,0.0002618322587412587,0.4399634269230769,0.5244755244755245,0.0008451209755244759
150.0,0.2509349513986014,0.2902097902097902,0.00026183225874125865,0.26493798216783215,0.3111888111888112,0.0003083388601398601,0.264174251923077,0.3111888111888112,0.000313430395104895,0.2558234421328672,0.2972027972027972,0.0002758623671328669,0.2509349513986014,0.2902097902097902,0.0002618322587412587,0.40050397884615385,0.5104895104895105,0.0007332368776223777
200.0,0.2378433384615385,0.2902097902097902,0.00026183225874125865,0.247043004895105,0.3041958041958042,0.00028576399650349617,0.247043004895105,0.3041958041958042,0.00028576399650349617,0.24381622167832168,0.2972027972027972,0.0002669328776223775,0.23784333846153846,0.2902097902097902,0.0002618322587412587,0.3656129391608392,0.5034965034965035,0.0006894178216783217
