series,lambda,mean_reward,mean_cost,mean_utility,mean_called_routes
Oracle direct,0.0,0.5594405594405595,0.0014341748951048942,0.5594405594405595,1.0
Input-only direct,0.0,0.4405594405594406,0.012781430486013984,0.4405594405594406,1.0
Flexible max2,0.0,0.45454545454545453,0.013537230048951047,0.45454545454545453,1.1783216783216783
Forced scout max2,0.0,0.45454545454545453,0.013120170513986017,0.45454545454545453,1.881118881118881
Oracle direct,5.0,0.5594405594405595,0.0014218673041958034,0.5523312229195805,1.0
Input-only direct,5.0,0.42657342657342656,0.005344135510489508,0.399852749020979,1.0
Flexible max2,5.0,0.43006993006993005,0.006111275636363633,0.3995135518881119,1.1818181818181819
Forced scout max2,5.0,0.4020979020979021,0.005493842601398598,0.3746286890909091,1.867132867132867
Oracle direct,10.0,0.5594405594405595,0.0014218673041958034,0.5452218863986015,1.0
Input-only direct,10.0,0.3951048951048951,0.0024712051328671337,0.3703928437762238,1.0
Flexible max2,10.0,0.4020979020979021,0.0026984743041958054,0.375113159055944,1.1258741258741258
Forced scout max2,10.0,0.38461538461538464,0.0025091116013986003,0.35952426860139863,1.8426573426573427
Oracle direct,15.0,0.5594405594405595,0.0014218673041958034,0.5381125498776225,1.0
Input-only direct,15.0,0.38461538461538464,0.0018069375104895096,0.35751132195804197,1.0
Flexible max2,15.0,0.3916083916083916,0.0019501859055944058,0.3623556030244755,1.118881118881119
Forced scout max2,15.0,0.38461538461538464,0.0019721039580419563,0.3550338252447553,1.7937062937062938
Oracle direct,20.0,0.5594405594405595,0.0014218673041958034,0.5310032133566435,1.0
Input-only direct,20.0,0.3811188811188811,0.0015624271643356641,0.3498703378321678,1.0
Flexible max2,20.0,0.3916083916083916,0.0016963654930069935,0.35768108174825175,1.1153846153846154
Forced scout max2,20.0,0.3881118881118881,0.0016748293426573427,0.3546153012587413,1.7412587412587412
Oracle direct,25.0,0.5594405594405595,0.0014218673041958034,0.5238938768356644,1.0
Input-only direct,25.0,0.3776223776223776,0.0013642128531468531,0.34351705629370627,1.0
Flexible max2,25.0,0.38461538461538464,0.0015364735384615386,0.3462035461538462,1.1223776223776223
Forced scout max2,25.0,0.38461538461538464,0.0014739240104895102,0.34776728435314685,1.6783216783216783
Oracle direct,30.0,0.5559440559440559,0.0012962475349650349,0.5170566298951049,1.0
Input-only direct,30.0,0.3741258741258741,0.0012000574160839165,0.33812415164335663,1.0
Flexible max2,30.0,0.3881118881118881,0.001378474527972028,0.34675765227272726,1.1223776223776223
Forced scout max2,30.0,0.3916083916083916,0.001304097496503497,0.35248546671328673,1.632867132867133
Oracle direct,35.0,0.5559440559440559,0.0012962475349650349,0.5105753922202797,1.0
Input-only direct,35.0,0.3741258741258741,0.0010476831363636365,0.3374569643531468,1.0
Flexible max2,35.0,0.38461538461538464,0.0011995479615384624,0.34263120596153845,1.1153846153846154
Forced scout max2,35.0,0.3741258741258741,0.0011130816853146858,0.3351680151398601,1.5664335664335665
Oracle direct,40.0,0.5559440559440559,0.0012962475349650349,0.5040941545454546,1.0
Input-only direct,40.0,0.36713286713286714,0.0009625191888111888,0.3286320995804196,1.0
Flexible max2,40.0,0.3776223776223776,0.001063387381118881,0.33508688237762235,1.0909090909090908
Forced scout max2,40.0,0.3741258741258741,0.0009665986363636367,0.3354619286713286,1.506993006993007
Oracle direct,50.0,0.5559440559440559,0.0012962475349650349,0.4911316791958042,1.0
Input-only direct,50.0,0.34965034965034963,0.0008087705629370631,0.30921182150349646,1.0
Flexible max2,50.0,0.36713286713286714,0.0009015628951048951,0.3220547223776224,1.0874125874125875
Forced scout max2,50.0,0.34615384615384615,0.0007618160944055949,0.3080630414335664,1.4090909090909092
Oracle direct,75.0,0.5384615384615384,0.0010137947447552448,0.4624269326048951,1.0
Input-only direct,75.0,0.32517482517482516,0.000573539367132867,0.28215937263986013,1.0
Flexible max2,75.0,0.3321678321678322,0.0006255692762237761,0.28525013645104896,1.055944055944056
Forced scout max2,75.0,0.32167832167832167,0.0005133437307692307,0.2831775418706294,1.2447552447552448
Oracle direct,100.0,0.5244755244755245,0.0008451209755244759,0.4399634269230769,1.0
Input-only direct,100.0,0.3146853146853147,0.000417441800699301,0.2729411346153846,1.0
Flexible max2,100.0,0.32167832167832167,0.0004397582027972031,0.27770250139860136,1.027972027972028
Forced scout max2,100.0,0.3146853146853147,0.0003570907447552447,0.2789762402097902,1.118881118881119
Oracle direct,150.0,0.5104895104895105,0.0007332368776223777,0.40050397884615385,1.0
Input-only direct,150.0,0.3111888111888112,0.0003083388601398601,0.26493798216783215,1.0
Flexible max2,150.0,0.3111888111888112,0.000313430395104895,0.264174251923077,1.006993006993007
Forced scout max2,150.0,0.2972027972027972,0.0002758623671328669,0.2558234421328672,1.0244755244755244
Oracle direct,200.0,0.5034965034965035,0.0006894178216783217,0.3656129391608392,1.0
Input-only direct,200.0,0.3041958041958042,0.00028576399650349617,0.247043004895105,1.0
Flexible max2,200.0,0.3041958041958042,0.00028576399650349617,0.247043004895105,1.0
Forced scout max2,200.0,0.2972027972027972,0.0002669328776223775,0.24381622167832168,1.0104895104895104
Best always,0.0,0.47202797202797203,0.013906351258741255,0.47202797202797203,1.0
Always scout,0.0,0.2902097902097902,0.00026183225874125865,0.2902097902097902,1.0
Always OSS-20B,0.0,0.3881118881118881,0.0030106595979021,0.3881118881118881,1.0
Always Qwen30B,0.0,0.4020979020979021,0.004328844195804197,0.4020979020979021,1.0
Always OSS-120B,0.0,0.47202797202797203,0.013906351258741255,0.47202797202797203,1.0
Best always,5.0,0.47202797202797203,0.013906351258741255,0.40249621573426575,1.0
Always scout,5.0,0.2902097902097902,0.00026183225874125865,0.2889006289160839,1.0
Always OSS-20B,5.0,0.3881118881118881,0.0030106595979021,0.37305859012237763,1.0
Always Qwen30B,5.0,0.4020979020979021,0.004328844195804197,0.3804536811188811,1.0
Always OSS-120B,5.0,0.47202797202797203,0.013906351258741255,0.40249621573426575,1.0
Best always,10.0,0.4020979020979021,0.004328844195804197,0.3588094601398601,1.0
Always scout,10.0,0.2902097902097902,0.00026183225874125865,0.28759146762237764,1.0
Always OSS-20B,10.0,0.3881118881118881,0.0030106595979021,0.35800529213286714,1.0
Always Qwen30B,10.0,0.4020979020979021,0.004328844195804197,0.3588094601398601,1.0
Always OSS-120B,10.0,0.47202797202797203,0.013906351258741255,0.33296445944055947,1.0
Best always,15.0,0.3881118881118881,0.0030106595979021,0.34295199414335664,1.0
Always scout,15.0,0.2902097902097902,0.00026183225874125865,0.28628230632867135,1.0
Always OSS-20B,15.0,0.3881118881118881,0.0030106595979021,0.34295199414335664,1.0
