run,split,threshold,subset,n,pred_delta_mean,pred_delta_std,pred_delta_p10,pred_delta_median,pred_delta_p90,default_primary_rate,train_tau_primary_rate,default_reward,train_tau_reward,oracle_reward,default_regret,train_tau_regret,primary_win_auc_all,primary_vs_expert_auc_highgap
plain_full_5ep,train,0.025,primary_win_gap,222,-0.009667815556665798,0.05712723092774704,-0.09826349169015884,-0.0015185028314590454,0.05650241672992706,0.509009009009009,0.7747747747747747,0.278171732988175,0.33893071079777704,0.3843435519584664,0.10617181897029146,0.04541284116068939,0.7134885750802706,0.749439580425496
plain_full_5ep,train,0.025,expert_win_gap,213,0.10205571324413669,0.15407257182495124,-0.02487579584121704,0.043263137340545654,0.38243826921097945,0.2347417840375587,0.41784037558685444,0.4113611983826183,0.36939427471706565,0.4486189158064938,0.03725771742387557,0.0792246410894282,0.7134885750802706,0.749439580425496
plain_full_5ep,train,0.025,abs_gap,435,0.04503818820096852,0.1280950086187807,-0.07173853516578674,0.02180410921573639,0.21220692608039826,0.37471264367816093,0.6,0.34338864362959204,0.3538473524410149,0.4158163163254316,0.07242767269583954,0.06196896388441667,0.7134885750802706,0.749439580425496
plain_full_5ep,train,0.05,primary_win_gap,206,-0.012265127441547449,0.05692426502793995,-0.09963465481996536,-0.0028879791498184204,0.055895403027534485,0.5242718446601942,0.7864077669902912,0.2743943477031386,0.3389864998318038,0.38687958561101005,0.11248523790787146,0.047893085779206264,0.7201496100588891,0.7766745121114054
plain_full_5ep,train,0.05,expert_win_gap,198,0.11019289864972705,0.15651931639778624,-0.0206045240163803,0.04932771623134613,0.38993322192691265,0.20707070707070707,0.3888888888888889,0.42777314577063524,0.3832708581567112,0.46626594854575215,0.03849280277511688,0.08299509038904099,0.7201496100588891,0.7766745121114054
plain_full_5ep,train,0.05,abs_gap,404,0.04775142990021579,0.13193324701317258,-0.0737570196390152,0.02413114532828331,0.23023241698392655,0.3688118811881188,0.5915841584158416,0.3495651447758226,0.3606902200009416,0.4257867634849678,0.0762216187091452,0.06509654348402626,0.7201496100588891,0.7766745121114054
plain_full_5ep,train,0.1,primary_win_gap,167,-0.014083583465593304,0.057796816471455126,-0.10029523074626923,-0.00435832142829895,0.05270096659660343,0.5449101796407185,0.7964071856287425,0.27946479727854273,0.3537473516192979,0.407796699888335,0.1283319026097923,0.054049348269037144,0.7069523743211252,0.8064699004358148
plain_full_5ep,train,0.1,expert_win_gap,169,0.12300823274249012,0.1614456067449634,-0.010115885734558105,0.054046958684921265,0.39554727626964464,0.17159763313609466,0.3609467455621302,0.45627563089661344,0.40564502965240085,0.4964865037410922,0.04021087284447879,0.09084147408869139,0.7069523743211252,0.8064699004358148
plain_full_5ep,train,0.1,abs_gap,336,0.054870335996210565,0.1395298698968992,-0.07968015223741531,0.02569650113582611,0.2735420133685693,0.35714285714285715,0.5773809523809523,0.3683964368066795,0.37985064801094787,0.4524055595642754,0.08400912275759592,0.07255491155332752,0.7069523743211252,0.8064699004358148
plain_full_5ep,train,0.2,primary_win_gap,93,-0.014181913066935796,0.05941122653487375,-0.10100232362747193,-0.00435832142829895,0.05555861592292783,0.5376344086021505,0.8064516129032258,0.2895494572497824,0.3942393445840446,0.4649726051476694,0.17542314789788696,0.0707332605636248,0.6698050110613778,0.8153067678684377
