run,policy,bucket,n,mean_abs_delta,primary_win_n,expert_win_n,choice_primary_n,choice_expert_n,choice_acc,mean_always_expert,mean_always_primary,mean_oracle,mean_chosen,mean_possible_gain_vs_expert,mean_realized_gain_vs_expert,gain_capture_rate,total_possible_gain_vs_expert,total_realized_gain_vs_expert,mean_regret_vs_oracle,total_regret_vs_oracle,wrong_high_cost_n
plain_full_5ep,default,"[0,.025)",18,0.003624307612578074,13,5,3,15,0.3333333333333333,0.42901744941870373,0.4285322849949201,0.4305870210131009,0.4291996541950438,0.001569571594397227,0.00018220477634006075,0.11608567394470086,0.028252288699150085,0.0032796859741210938,0.0013873668180571662,0.02497260272502899,0
plain_full_5ep,train_tau,"[0,.025)",18,0.003624307612578074,13,5,10,8,0.5,0.42901744941870373,0.4285322849949201,0.4305870210131009,0.4286445784899924,0.001569571594397227,-0.00037287092871136137,-0.2375622303833534,0.028252288699150085,-0.006711676716804504,0.0019424425231085883,0.03496396541595459,0
plain_full_5ep,default,"[.025,.05)",9,0.037875674251053065,6,3,3,6,0.4444444444444444,0.34291580816109973,0.3572358327607314,0.3690136575864421,0.3493255881799592,0.026097849425342348,0.0064097800188594395,0.2456056786286465,0.23488064482808113,0.057688020169734955,0.01968806940648291,0.17719262465834618,0
plain_full_5ep,train_tau,"[.025,.05)",9,0.037875674251053065,6,3,5,4,0.4444444444444444,0.34291580816109973,0.3572358327607314,0.3690136575864421,0.34946725020805997,0.026097849425342348,0.006551442046960195,0.25103378980332414,0.23488064482808113,0.058962978422641754,0.019546407378382154,0.17591766640543938,0
plain_full_5ep,default,"[.05,.10)",22,0.06969687918370421,13,9,3,19,0.45454545454545453,0.29541105878624047,0.3069066669453274,0.33600730245763605,0.2987302507866513,0.04059624367139556,0.0033191920004107737,0.08176106211396851,0.8931173607707024,0.07302222400903702,0.03727705167098479,0.8200951367616653,0
plain_full_5ep,train_tau,"[.05,.10)",22,0.06969687918370421,13,9,10,12,0.4090909090909091,0.29541105878624047,0.3069066669453274,0.33600730245763605,0.29573071138425305,0.04059624367139556,0.0003196525980125774,0.00787394520044738,0.8931173607707024,0.007032357156276703,0.04027659107338299,0.8860850036144257,0
plain_full_5ep,default,"[.10,.20)",43,0.1532527558332266,20,23,12,31,0.5348837209302325,0.39486352198345714,0.38427293092705483,0.46619460437186927,0.3951677295357682,0.07133108238841213,0.00030420755231103233,0.004264726429560691,3.067236542701721,0.01308092474937439,0.0710268748361011,3.054155617952347,0
plain_full_5ep,train_tau,"[.10,.20)",43,0.1532527558332266,20,23,31,12,0.5581395348837209,0.39486352198345714,0.38427293092705483,0.46619460437186927,0.3985569456288981,0.07133108238841213,0.0036934236454409224,0.05177860088158324,3.067236542701721,0.15881721675395966,0.0676376587429712,2.9084193259477615,0
plain_full_5ep,default,>=.20,86,0.4114802924612927,33,53,15,71,0.5813953488372093,0.42749182736977587,0.2945342769976272,0.5667531984143479,0.4187037464837695,0.139261371044572,-0.008788080886006355,-0.06310494302970521,11.976477909833193,-0.7557749561965466,0.14804945193057836,12.73225286602974,36
plain_full_5ep,train_tau,>=.20,86,0.4114802924612927,33,53,29,57,0.5813953488372093,0.42749182736977587,0.2945342769976272,0.5667531984143479,0.41549662093436995,0.139261371044572,-0.011995206435405931,-0.08613448471340085,11.976477909833193,-1.03158775344491,0.15125657747997795,13.008065663278103,36
plain_full_5ep,default,ALL,178,0.24672260449341174,85,93,36,142,0.5224719101123596,0.39916308008636653,0.3344625514000654,0.49017411798992183,0.3957433941240391,0.09101103790355532,-0.0034196859623274105,-0.03757440900686423,16.199964746832848,-0.6087041012942791,0.09443072386588273,16.808668848127127,36
plain_full_5ep,train_tau,ALL,178,0.24672260449341174,85,93,85,93,0.5393258426966292,0.39916308008636653,0.3344625514000654,0.49017411798992183,0.3945929290873281,0.09101103790355532,-0.004570150999038407,-0.05021534864684666,16.199964746832848,-0.8134868778288364,0.09558118890259373,17.013451624661684,36
mse_w20_full_5ep,default,"[0,.025)",18,0.003624307612578074,13,5,8,10,0.5,0.42901744941870373,0.4285322849949201,0.4305870210131009,0.429755509727531,0.001569571594397227,0.0007380603088272943,0.4702304192187783,0.028252288699150085,0.013285085558891296,0.0008315112855699328,0.014967203140258789,0
mse_w20_full_5ep,train_tau,"[0,.025)",18,0.003624307612578074,13,5,8,10,0.5,0.42901744941870373,0.4285322849949201,0.4305870210131009,0.429755509727531,0.001569571594397227,0.0007380603088272943,0.4702304192187783,0.028252288699150085,0.013285085558891296,0.0008315112855699328,0.014967203140258789,0
mse_w20_full_5ep,default,"[.025,.05)",9,0.037875674251053065,6,3,7,2,0.4444444444444444,0.34291580816109973,0.3572358327607314,0.3690136575864421,0.34914738519324195,0.026097849425342348,0.006231577032142215,0.238777415356341,0.23488064482808113,0.05608419328927994,0.019866272393200133,0.1787964515388012,0
mse_w20_full_5ep,train_tau,"[.025,.05)",9,0.037875674251053065,6,3,7,2,0.4444444444444444,0.34291580816109973,0.3572358327607314,0.3690136575864421,0.34914738519324195,0.026097849425342348,0.006231577032142215,0.238777415356341,0.23488064482808113,0.05608419328927994,0.019866272393200133,0.1787964515388012,0
mse_w20_full_5ep,default,"[.05,.10)",22,0.06969687918370421,13,9,8,14,0.4090909090909091,0.29541105878624047,0.3069066669453274,0.33600730245763605,0.2961713190783154,0.04059624367139556,0.000760260292074897,0.018727355620110797,0.8931173607707024,0.016725726425647736,0.039835983379320664,0.8763916343450546,0
mse_w20_full_5ep,train_tau,"[.05,.10)",22,0.06969687918370421,13,9,9,13,0.45454545454545453,0.29541105878624047,0.3069066669453274,0.33600730245763605,0.29959593611684715,0.04059624367139556,0.004184877330606634,0.10308533381760471,0.8931173607707024,0.09206730127334595,0.036411366340788925,0.8010500594973564,0
mse_w20_full_5ep,default,"[.10,.20)",43,0.1532527558332266,20,23,18,25,0.6744186046511628,0.39486352198345714,0.38427293092705483,0.46619460437186927,0.41691321203874987,0.07133108238841213,0.022049690055292705,0.3091175588115669,3.067236542701721,0.9481366723775864,0.049281392333119414,2.119099870324135,0
mse_w20_full_5ep,train_tau,"[.10,.20)",43,0.1532527558332266,20,23,25,18,0.6511627906976745,0.39486352198345714,0.38427293092705483,0.46619460437186927,0.4131596071082492,0.07133108238841213,0.018296085124792055,0.25649526843243714,3.067236542701721,0.7867316603660583,0.053034997263620064,2.280504882335663,0
mse_w20_full_5ep,default,>=.20,86,0.4114802924612927,33,53,28,58,0.6162790697674418,0.42749182736977587,0.2945342769976272,0.5667531984143479,0.4317699731002713,0.139261371044572,0.004278145730495453,0.030720261465228497,11.976477909833193,0.36792053282260895,0.13498322531407655,11.608557377010584,33
mse_w20_full_5ep,train_tau,>=.20,86,0.4114802924612927,33,53,36,50,0.6395348837209303,0.42749182736977587,0.2945342769976272,0.5667531984143479,0.4415546149708504,0.139261371044572,0.014062787601074506,0.10098125198389415,11.976477909833193,1.2093997336924076,0.1251985834434975,10.767078176140785,31
mse_w20_full_5ep,default,ALL,178,0.24672260449341174,85,93,69,109,0.5842696629213483,0.39916308008636653,0.3344625514000654,0.49017411798992183,0.4070403396957711,0.09101103790355532,0.007877259609404575,0.08655279393420533,16.199964746832848,1.4021522104740143,0.08313377829415075,14.797812536358833,33
mse_w20_full_5ep,train_tau,ALL,178,0.24672260449341174,85,93,85,93,0.5955056179775281,0.39916308008636653,0.3344625514000654,0.49017411798992183,0.4112842484806361,0.09101103790355532,0.012121168394269568,0.13318349810617924,16.199964746832848,2.157567974179983,0.07888986950928575,14.042396772652864,31
